year,month,dayofmonth,dayofweek,deptime,crsdeptime,arrtime,crsarrtime,uniquecarrier,flightnum,tailnum,actualelapsedtime,crselapsedtime,airtime,arrdelay,depdelay,origin,dest,distance,taxiin,taxiout,cancelled,cancellationcode,diverted,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay
2008,1,25,5,1736,1734,2039,2010,CO,359,N13716,243,216,220,29,2,DCA,IAH,1208,7,16,0,"",0,0,0,29,0,0
2008,7,19,6,727,730,918,925,AA,425,N4YPAA,171,175,148,-7,-3,RIC,DFW,1158,11,12,0,"",0,NA,NA,NA,NA,NA
2008,4,3,4,1937,1938,2050,2039,DL,1060,N916DN,133,121,86,11,-1,SLC,LAX,590,15,32,0,"",0,NA,NA,NA,NA,NA
2008,11,10,1,640,640,823,825,9E,2901,88839E,163,165,139,-2,0,AVL,MSP,861,8,16,0,"",0,NA,NA,NA,NA,NA
2008,7,3,4,659,700,833,818,US,103,N662AW,274,258,243,15,-1,DTW,LAS,1750,9,22,0,"",0,0,0,15,0,0
2008,1,25,5,1340,1350,1518,1535,MQ,4474,N676AE,158,165,142,-17,-10,JAX,ORD,865,5,11,0,"",0,NA,NA,NA,NA,NA
2008,4,19,6,745,755,924,910,XE,71,N11191,219,195,204,14,-10,OMA,ONT,1286,4,11,0,"",0,NA,NA,NA,NA,NA
2008,9,19,5,NA,1730,NA,1848,DL,1962,N980DL,NA,78,NA,NA,NA,DCA,LGA,214,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,2,27,3,556,600,741,753,DL,1054,N931DL,105,113,86,-12,-4,MIA,ATL,595,4,15,0,"",0,NA,NA,NA,NA,NA
2008,6,24,2,1549,1550,1828,1847,CO,1137,N17640,219,237,188,-19,-1,EWR,DFW,1372,6,25,0,"",0,NA,NA,NA,NA,NA
2008,12,12,5,NA,725,NA,920,OH,6737,N436CA,NA,175,NA,NA,NA,JFK,ORD,740,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,12,30,2,719,700,859,900,MQ,4143,N671MQ,100,120,77,-1,19,ORD,MEM,491,5,18,0,"",0,NA,NA,NA,NA,NA
2008,12,8,1,1610,1550,1928,1844,OH,6461,N653CA,138,114,82,44,20,MSP,CVG,596,4,52,0,"",0,0,20,24,0,0
2008,9,7,7,735,740,1029,1050,AA,1106,N248AA,114,130,95,-21,-5,DFW,ATL,732,6,13,0,"",0,NA,NA,NA,NA,NA
2008,7,28,1,1732,1734,1840,1844,YV,2678,N925FJ,68,70,45,-4,-2,CLT,ORF,290,6,17,0,"",0,NA,NA,NA,NA,NA
2008,9,14,7,1302,1305,1623,1636,NW,1068,N773NC,141,151,118,-13,-3,MSP,BWI,936,6,17,0,"",0,NA,NA,NA,NA,NA
2008,2,21,4,1402,1340,1643,1618,NW,494,N1332U,101,98,72,25,22,MSP,IND,503,17,12,0,"",0,22,0,3,0,0
2008,6,28,6,1115,1115,1157,1207,OO,3753,N606SK,102,112,87,-10,0,SLC,BUR,574,3,12,0,"",0,NA,NA,NA,NA,NA
2008,12,9,2,2001,2005,2222,2224,FL,494,N290AT,141,139,117,-2,-4,BWI,MCO,787,11,13,0,"",0,NA,NA,NA,NA,NA
2008,10,30,4,951,955,1257,1300,MQ,4282,N614MQ,126,125,110,-3,-4,ORD,BDL,783,2,14,0,"",0,NA,NA,NA,NA,NA
2008,3,20,4,2008,2011,2107,2059,F9,611,N805FR,179,168,161,8,-3,IND,DEN,977,10,8,0,"",0,NA,NA,NA,NA,NA
2008,5,12,1,722,730,937,946,F9,314,N934FR,255,256,234,-9,-8,BDL,DEN,1671,10,11,0,"",0,NA,NA,NA,NA,NA
2008,10,21,2,2143,2145,2341,2350,MQ,4090,N699MQ,118,125,107,-9,-2,ORD,OKC,693,4,7,0,"",0,NA,NA,NA,NA,NA
2008,1,30,3,1040,1045,1211,1155,AA,1975,N4WDAA,151,130,112,16,-5,RDU,ORD,647,19,20,0,"",0,0,0,16,0,0
2008,2,16,6,2127,2131,2310,2315,DL,685,N988DL,163,164,142,-5,-4,ATL,SAT,874,5,16,0,"",0,NA,NA,NA,NA,NA
2008,5,7,3,1956,2000,2247,2248,FL,227,N268AT,351,348,326,-1,-4,BWI,SEA,2335,7,18,0,"",0,NA,NA,NA,NA,NA
2008,12,7,7,1445,1445,1620,1625,WN,1141,N513SW,95,100,82,-5,0,PDX,OAK,543,4,9,0,"",0,NA,NA,NA,NA,NA
2008,9,25,4,2014,2000,2132,2053,US,947,N705UW,78,53,48,39,14,CLT,RDU,130,7,23,0,"",0,6,0,25,0,8
2008,6,6,5,1450,1455,1655,1656,YV,2645,N904FJ,125,121,98,-1,-5,ALB,CLT,646,10,17,0,"",0,NA,NA,NA,NA,NA
2008,8,15,5,636,640,815,820,WN,2553,N370SW,99,100,82,-5,-4,RNO,SEA,564,7,10,0,"",0,NA,NA,NA,NA,NA
2008,5,26,1,1217,1211,1341,1331,OO,5568,N218SW,84,80,75,10,6,SBA,SFO,262,3,6,0,"",0,NA,NA,NA,NA,NA
2008,7,13,7,730,735,921,930,9E,4764,87099E,111,115,77,-9,-5,SGF,MSP,528,23,11,0,"",0,NA,NA,NA,NA,NA
2008,8,17,7,1323,1325,1356,1420,MQ,4395,N614AE,33,55,22,-24,-2,MSN,ORD,109,5,6,0,"",0,NA,NA,NA,NA,NA
2008,1,6,7,1645,1640,1811,1820,EV,4434,N709EV,86,100,69,-9,5,ATL,DAY,432,4,13,0,"",0,NA,NA,NA,NA,NA
2008,12,18,4,1700,1655,1938,1946,DL,925,N672DL,158,171,119,-8,5,LGA,ATL,761,9,30,0,"",0,NA,NA,NA,NA,NA
2008,4,14,1,1157,1205,1545,1540,NW,698,N353NB,168,155,141,5,-8,DFW,DTW,987,13,14,0,"",0,NA,NA,NA,NA,NA
2008,8,13,3,1646,1646,1731,1742,YV,7155,N570ML,45,56,31,-11,0,ORD,SPI,174,4,10,0,"",0,NA,NA,NA,NA,NA
2008,12,30,2,1743,1745,1957,2015,AA,1696,N513AA,134,150,119,-18,-2,MSY,ORD,837,6,9,0,"",0,NA,NA,NA,NA,NA
2008,3,3,1,1100,1045,1315,1318,OH,5171,N656CA,135,153,126,-3,15,CVG,MIA,948,5,4,0,"",0,NA,NA,NA,NA,NA
2008,3,14,5,2021,2017,2252,2305,OO,5978,N753SK,151,168,129,-13,4,ORD,AUS,978,3,19,0,"",0,NA,NA,NA,NA,NA
2008,7,3,4,744,745,843,840,AA,359,N3ACAA,179,175,155,3,-1,DFW,SNA,1205,6,18,0,"",0,NA,NA,NA,NA,NA
2008,7,13,7,1645,1645,1716,1709,XE,2197,N22971,91,84,69,7,0,CLE,MSN,402,7,15,0,"",0,NA,NA,NA,NA,NA
2008,5,8,4,2020,2025,2314,2305,AA,580,N414AA,114,100,97,9,-5,ORD,DCA,612,3,14,0,"",0,NA,NA,NA,NA,NA
2008,2,14,4,915,922,1202,1229,NW,241,N519US,167,187,150,-27,-7,FLL,DTW,1127,7,10,0,"",0,NA,NA,NA,NA,NA
2008,8,3,7,815,820,933,1005,OH,5691,N814CA,78,105,52,-32,-5,JFK,ORF,289,5,21,0,"",0,NA,NA,NA,NA,NA
2008,12,21,7,1447,1443,1551,1545,OO,5774,N288SW,64,62,46,6,4,LAS,PSP,173,4,14,0,"",0,NA,NA,NA,NA,NA
2008,6,4,3,552,600,644,658,OO,5507,N292SW,52,58,32,-14,-8,SMX,LAX,135,9,11,0,"",0,NA,NA,NA,NA,NA
2008,12,19,5,639,640,900,844,XE,3085,N13903,141,124,107,16,-1,EWR,TYS,631,4,30,0,"",0,0,0,16,0,0
2008,4,9,3,1634,1630,1857,1851,UA,39,N546UA,323,321,298,6,4,SFO,OGG,2338,6,19,0,"",0,NA,NA,NA,NA,NA
2008,8,19,2,1712,1714,1918,1924,9E,2015,91619E,126,130,103,-6,-2,BUF,ATL,712,10,13,0,"",0,NA,NA,NA,NA,NA
2008,7,27,7,1913,1800,2146,1945,MQ,4735,N725AE,153,105,71,121,73,RDU,LGA,431,30,52,0,"",0,0,0,71,0,50
2008,5,26,1,1948,1935,2033,2025,WN,3278,N452WN,45,50,37,8,13,HOU,SAT,192,3,5,0,"",0,NA,NA,NA,NA,NA
2008,5,23,5,1518,1235,1659,1426,9E,2969,87949E,101,111,84,153,163,RIC,DTW,456,7,10,0,"",0,0,0,0,0,153
2008,11,9,7,1336,1330,1801,1745,AS,88,N607AS,205,195,186,16,6,ANC,SEA,1449,5,14,0,"",0,6,0,10,0,0
2008,5,1,4,1605,1610,1748,1817,9E,3709,86749E,103,127,90,-29,-5,CAE,DTW,583,3,10,0,"",0,NA,NA,NA,NA,NA
2008,8,14,4,629,630,747,750,WN,358,N311SW,78,80,69,-3,-1,HOU,TUL,453,3,6,0,"",0,NA,NA,NA,NA,NA
2008,2,18,1,1253,1250,1523,1525,WN,495,N647SW,90,95,73,-2,3,GEG,SLC,546,3,14,0,"",0,NA,NA,NA,NA,NA
2008,4,24,4,1323,1325,1407,1420,WN,631,N408WN,44,55,32,-13,-2,PBI,TPA,174,4,8,0,"",0,NA,NA,NA,NA,NA
2008,2,24,7,709,710,824,827,9E,5717,86599E,135,137,109,-3,-1,RDU,MEM,634,9,17,0,"",0,NA,NA,NA,NA,NA
2008,7,9,3,910,915,1017,1010,NW,741,N588NW,127,115,93,7,-5,DTW,MSP,528,13,21,0,"",0,NA,NA,NA,NA,NA
2008,3,29,6,712,715,929,927,UA,1445,N453UA,137,132,116,2,-3,PHX,SFO,651,6,15,0,"",0,NA,NA,NA,NA,NA
2008,12,5,5,2114,2115,2316,2321,DL,1087,N619DL,242,246,219,-5,-1,ATL,SLC,1589,6,17,0,"",0,NA,NA,NA,NA,NA
2008,10,26,7,833,830,1411,1415,AA,2378,N624AA,218,225,203,-4,3,SNA,ORD,1726,4,11,0,"",0,NA,NA,NA,NA,NA
2008,5,23,5,925,925,950,951,OH,5243,N595SW,85,86,66,-1,0,CVG,BHM,396,3,16,0,"",0,NA,NA,NA,NA,NA
2008,10,17,5,1506,1509,1605,1615,YV,7223,N521LR,59,66,39,-10,-3,ORF,IAD,157,5,15,0,"",0,NA,NA,NA,NA,NA
2008,4,18,5,2125,2000,2230,2106,OH,5018,N590SW,65,66,54,84,85,CVG,GRR,268,2,9,0,"",0,84,0,0,0,0
2008,5,23,5,1450,1455,1610,1613,XE,3106,N14542,80,78,62,-3,-5,SYR,CLE,317,7,11,0,"",0,NA,NA,NA,NA,NA
2008,7,1,2,1334,1331,1420,1425,EV,4580,N935EV,106,114,89,-5,3,ATL,MLI,633,3,14,0,"",0,NA,NA,NA,NA,NA
2008,8,14,4,1326,1328,1500,1509,FL,199,N175AT,94,101,78,-9,-2,ATL,DCA,547,3,13,0,"",0,NA,NA,NA,NA,NA
2008,5,26,1,2002,1955,2140,2130,OO,2718,N479CA,38,35,19,10,7,MKE,MKG,85,6,13,0,"",0,NA,NA,NA,NA,NA
2008,2,29,5,659,705,856,900,AA,1045,N453AA,177,175,150,-4,-6,CLT,DFW,936,14,13,0,"",0,NA,NA,NA,NA,NA
2008,6,29,7,NA,1855,NA,2145,AA,1329,"",NA,170,NA,NA,NA,LGA,MCO,950,NA,NA,1,C,0,NA,NA,NA,NA,NA
2008,1,3,4,1133,1130,1350,1354,OO,5846,N707SK,77,84,60,-4,3,ORD,PIT,412,5,12,0,"",0,NA,NA,NA,NA,NA
2008,3,6,4,1330,1310,1355,1329,OH,5222,N691CA,85,79,52,26,20,CVG,ORD,264,10,23,0,"",0,20,0,6,0,0
2008,9,23,2,1324,1330,1456,1459,DL,969,N676DL,92,89,59,-3,-6,ATL,MCO,403,6,27,0,"",0,NA,NA,NA,NA,NA
2008,10,20,1,1845,1851,36,52,UA,152,N835UA,231,241,210,-16,-6,SFO,ORD,1846,5,16,0,"",0,NA,NA,NA,NA,NA
2008,1,26,6,958,1010,1403,1401,AS,748,N784AS,185,171,156,2,-12,SEA,PHX,1107,7,22,0,"",0,NA,NA,NA,NA,NA
2008,12,23,2,2012,2015,2140,2126,YV,2669,N907FJ,148,131,110,14,-3,CLT,STL,575,8,30,0,"",0,NA,NA,NA,NA,NA
2008,9,20,6,622,600,1134,1055,MQ,3494,N518AE,192,175,160,39,22,SBA,DFW,1315,15,17,0,"",0,22,0,17,0,0
2008,3,15,6,1244,1245,1354,1401,US,1162,N177US,70,76,48,-7,-1,SAN,PHX,304,13,9,0,"",0,NA,NA,NA,NA,NA
2008,3,8,6,NA,2123,NA,2255,9E,2930,"",NA,92,NA,NA,NA,DTW,AVP,398,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,3,3,1,1100,820,1517,1250,US,1,N673AW,197,210,173,147,160,PHX,ORD,1440,11,13,0,"",0,0,0,147,0,0
2008,6,27,5,635,640,755,755,US,57,N656AW,80,75,47,0,-5,LAS,PHX,256,4,29,0,"",0,NA,NA,NA,NA,NA
2008,8,18,1,755,755,902,905,WN,2146,N513SW,67,70,49,-3,0,DAL,AMA,324,7,11,0,"",0,NA,NA,NA,NA,NA
2008,4,1,2,1505,1505,1630,1637,OH,5468,N966CA,85,92,62,-7,0,CVG,ROC,461,8,15,0,"",0,NA,NA,NA,NA,NA
2008,2,14,4,2201,2150,613,555,AA,272,N5CKAA,312,305,287,18,11,SFO,MIA,2585,5,20,0,"",0,0,0,7,0,11
2008,3,7,5,1553,1535,1643,1640,WN,2208,N505SW,170,185,160,3,18,OMA,LAS,1099,3,7,0,"",0,NA,NA,NA,NA,NA
2008,8,12,2,1128,1100,2012,1933,B6,206,N649JB,344,333,313,39,28,LGB,JFK,2465,8,23,0,"",0,5,0,11,0,23
2008,5,28,3,1853,1855,2015,2020,WN,113,N918WN,82,85,64,-5,-2,SAN,OAK,446,7,11,0,"",0,NA,NA,NA,NA,NA
2008,5,16,5,834,845,931,945,MQ,3489,N820AE,57,60,35,-14,-11,DFW,FSM,228,3,19,0,"",0,NA,NA,NA,NA,NA
2008,8,5,2,1125,1110,1227,1205,DL,1125,N6704Z,122,115,89,22,15,SLC,LAX,590,16,17,0,"",0,0,0,7,0,15
2008,11,12,3,1108,1110,1205,1210,WN,3917,N242WN,57,60,39,-5,-2,FLL,TPA,197,3,15,0,"",0,NA,NA,NA,NA,NA
2008,9,25,4,612,620,709,728,NW,1732,N783NC,57,68,36,-19,-8,BHM,MEM,211,7,14,0,"",0,NA,NA,NA,NA,NA
2008,6,15,7,1912,1915,2035,2047,UA,847,N419UA,83,92,46,-12,-3,LGA,IAD,229,6,31,0,"",0,NA,NA,NA,NA,NA
2008,12,5,5,1407,1415,1532,1614,XE,2425,N12540,85,119,67,-42,-8,PWM,EWR,284,11,7,0,"",0,NA,NA,NA,NA,NA
2008,3,4,2,2037,2015,2312,2300,WN,841,N699SW,95,105,85,12,22,LAX,ABQ,677,3,7,0,"",0,NA,NA,NA,NA,NA
2008,5,22,4,1350,1338,1451,1443,NW,1124,N766NC,61,65,39,8,12,DTW,BUF,240,8,14,0,"",0,NA,NA,NA,NA,NA
2008,7,1,2,1532,1530,1751,1818,CO,1150,N12313,139,168,103,-27,2,ATL,EWR,745,13,23,0,"",0,NA,NA,NA,NA,NA
2008,6,21,6,2108,1855,2325,2119,FL,646,N967AT,137,144,109,126,133,ATL,HPN,780,8,20,0,"",0,126,0,0,0,0
2008,4,6,7,846,835,916,910,OO,3998,N410SW,90,95,71,6,11,SLC,RNO,422,5,14,0,"",0,NA,NA,NA,NA,NA
2008,1,12,6,1012,1007,1312,1253,NW,1722,N765NC,120,106,80,19,5,MSP,DTW,528,9,31,0,"",0,0,0,19,0,0
2008,3,17,1,2308,2110,1,2225,US,1258,N102UW,53,75,39,96,118,PHL,BDL,196,4,10,0,"",0,96,0,0,0,0
2008,5,8,4,815,815,1154,1206,UA,1689,N407UA,219,231,204,-12,0,IAD,SJU,1571,3,12,0,"",0,NA,NA,NA,NA,NA
2008,3,22,6,1651,1650,1855,1857,DL,1813,N941DL,124,127,110,-2,1,CVG,TPA,773,5,9,0,"",0,NA,NA,NA,NA,NA
2008,2,27,3,1717,1720,2030,2023,9E,5867,86949E,133,123,102,7,-3,OMA,DTW,651,19,12,0,"",0,NA,NA,NA,NA,NA
2008,8,14,4,1928,1930,NA,1950,AA,1801,N511AA,NA,140,NA,NA,-2,DFW,PHX,868,NA,16,0,"",1,NA,NA,NA,NA,NA
2008,2,21,4,1310,1310,1548,1602,B6,438,N566JB,158,172,146,-14,0,MCO,BOS,1121,3,9,0,"",0,NA,NA,NA,NA,NA
2008,5,19,1,1358,1405,1533,1551,DL,1064,N627DL,95,106,79,-18,-7,PBI,ATL,545,5,11,0,"",0,NA,NA,NA,NA,NA
2008,1,15,2,917,922,1030,1040,MQ,3302,N232AE,73,78,52,-10,-5,SHV,DFW,190,15,6,0,"",0,NA,NA,NA,NA,NA
2008,4,19,6,1119,1108,1354,1355,UA,1450,N494UA,95,107,79,-1,11,PHX,DEN,602,7,9,0,"",0,NA,NA,NA,NA,NA
2008,8,26,2,1717,1707,2103,1837,FL,152,N315AT,226,90,61,146,10,ATL,TPA,406,5,160,0,"",0,0,0,136,0,10
2008,8,26,2,1212,1217,1402,1353,FL,714,N969AT,110,96,88,9,-5,DAY,ATL,432,9,13,0,"",0,NA,NA,NA,NA,NA
2008,12,1,1,1929,1930,2029,2102,DL,1366,N911DE,60,92,46,-33,-1,DCA,LGA,214,3,11,0,"",0,NA,NA,NA,NA,NA
2008,4,25,5,1733,1735,2018,1958,9E,4768,80349E,165,143,113,20,-2,BDL,IND,728,9,43,0,"",0,0,0,20,0,0
2008,3,3,1,1155,1200,1409,1413,US,1172,N745VJ,134,133,113,-4,-5,TPA,DCA,814,10,11,0,"",0,NA,NA,NA,NA,NA
2008,8,3,7,1014,1005,1232,1240,AA,1649,N4WKAA,198,215,177,-8,9,EWR,DFW,1372,10,11,0,"",0,NA,NA,NA,NA,NA
2008,5,31,6,2243,2245,548,615,AA,1842,N618AA,245,270,234,-27,-2,LAS,MIA,2175,2,9,0,"",0,NA,NA,NA,NA,NA
2008,4,9,3,NA,1655,NA,2015,AA,1316,"",NA,140,NA,NA,NA,DFW,TPA,929,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,12,21,7,1850,1825,2034,2020,WN,1680,N402WN,104,115,85,14,25,AUS,BNA,756,9,10,0,"",0,NA,NA,NA,NA,NA
2008,11,20,4,1140,1143,1253,1245,9E,2261,84239E,73,62,48,8,-3,BHM,MEM,211,13,12,0,"",0,NA,NA,NA,NA,NA
2008,12,11,4,1920,1925,2017,2028,NW,924,N670MC,57,63,38,-11,-5,MSP,MSN,228,6,13,0,"",0,NA,NA,NA,NA,NA
2008,1,4,5,38,40,559,612,CO,1740,N32404,201,212,177,-13,-2,SMF,IAH,1609,8,16,0,"",0,NA,NA,NA,NA,NA
2008,6,23,1,2130,2115,2301,2240,AA,1035,N579AA,211,205,194,21,15,DFW,SJC,1438,2,15,0,"",0,10,0,6,0,5
2008,6,3,2,1718,1708,1840,1840,FL,702,N895AT,82,92,68,0,10,ATL,DAY,432,4,10,0,"",0,NA,NA,NA,NA,NA
2008,8,5,2,1729,1730,2012,2020,XE,2350,N13566,163,170,142,-8,-1,MKE,IAH,984,6,15,0,"",0,NA,NA,NA,NA,NA
2008,12,20,6,1043,1050,1209,1206,EV,5592,N875AS,86,76,53,3,-7,CVG,GSO,330,2,31,0,"",0,NA,NA,NA,NA,NA
2008,6,8,7,1434,1439,1650,1705,DL,1295,N942DL,76,86,55,-15,-5,JAN,ATL,341,11,10,0,"",0,NA,NA,NA,NA,NA
2008,6,16,1,1639,1640,1721,1725,WN,1599,N482WN,162,165,148,-4,-1,SAT,LAS,1069,5,9,0,"",0,NA,NA,NA,NA,NA
2008,12,31,3,1359,1350,1652,1628,AS,575,N797AS,173,158,142,24,9,SAN,PDX,933,7,24,0,"",0,9,0,15,0,0
2008,4,10,4,1719,1725,1841,1835,WN,726,N204WN,82,70,56,6,-6,BUR,OAK,325,5,21,0,"",0,NA,NA,NA,NA,NA
2008,2,18,1,551,550,828,820,DL,899,N3769L,157,150,134,8,1,BOS,CVG,752,4,19,0,"",0,NA,NA,NA,NA,NA
2008,8,14,4,807,810,1325,1328,CO,1041,N54241,198,198,171,-3,-3,SAN,IAH,1303,5,22,0,"",0,NA,NA,NA,NA,NA
2008,6,14,6,920,920,1158,1140,AA,2313,N582AA,158,140,126,18,0,ORD,DFW,802,18,14,0,"",0,0,0,18,0,0
2008,12,4,4,647,655,921,855,DL,727,N664DN,154,120,116,26,-8,BWI,ATL,576,13,25,0,"",0,0,0,26,0,0
2008,7,16,3,1738,1740,1842,1845,MQ,4050,N663AR,64,65,45,-3,-2,RST,ORD,268,5,14,0,"",0,NA,NA,NA,NA,NA
2008,6,11,3,1846,1759,2157,2115,UA,884,N511UA,131,136,98,42,47,ORD,PHL,678,5,28,0,"",0,14,0,0,0,28
2008,9,7,7,1657,1659,1823,1833,EV,4603,N857AS,86,94,62,-10,-2,OAJ,ATL,399,11,13,0,"",0,NA,NA,NA,NA,NA
2008,7,5,6,1745,1737,2025,2024,OO,3916,N413SW,100,107,80,1,8,SFO,SLC,599,7,13,0,"",0,NA,NA,NA,NA,NA
2008,1,24,4,1355,1400,1705,1710,UA,430,N821UA,130,130,117,-5,-5,GEG,DEN,836,3,10,0,"",0,NA,NA,NA,NA,NA
2008,6,7,6,1018,1020,1310,1325,UA,791,N930UA,112,125,97,-15,-2,DEN,STL,770,4,11,0,"",0,NA,NA,NA,NA,NA
2008,1,30,3,909,832,1049,932,NW,228,N316US,100,60,29,77,37,GRR,DTW,120,8,63,0,"",0,0,37,40,0,0
2008,1,11,5,2151,2155,611,615,DL,1699,N3768,320,320,294,-4,-4,LAX,BOS,2611,8,18,0,"",0,NA,NA,NA,NA,NA
2008,7,18,5,1428,1430,1533,1535,XE,2591,N14925,65,65,41,-2,-2,IAH,DAL,217,4,20,0,"",0,NA,NA,NA,NA,NA
2008,6,30,1,1227,1230,1347,1351,FL,324,N985AT,80,81,61,-4,-3,BWI,BOS,370,6,13,0,"",0,NA,NA,NA,NA,NA
2008,12,21,7,NA,2345,NA,656,DL,1640,N3762Y,NA,251,NA,NA,NA,SEA,CVG,1964,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,7,27,7,749,750,947,955,WN,2536,N680AA,58,65,47,-8,-1,RNO,BOI,335,4,7,0,"",0,NA,NA,NA,NA,NA
2008,6,22,7,559,600,1335,1351,DL,46,N139DL,276,291,250,-16,-1,SFO,ATL,2139,6,20,0,"",0,NA,NA,NA,NA,NA
2008,4,17,4,1829,1750,2056,2037,EV,4861,N978EV,147,167,123,19,39,PVD,ATL,903,14,10,0,"",0,19,0,0,0,0
2008,8,12,2,1159,1159,1356,1426,UA,355,N416UA,237,267,223,-30,0,ORD,SEA,1721,5,9,0,"",0,NA,NA,NA,NA,NA
2008,7,21,1,1641,1540,1815,1712,US,471,N824AW,94,92,61,63,61,SFO,LAS,414,7,26,0,"",0,0,0,2,0,61
2008,7,19,6,813,815,948,1010,WN,3661,N523SW,95,115,87,-22,-2,PHX,SJC,621,3,5,0,"",0,NA,NA,NA,NA,NA
